Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
53112: LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),53112,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),NULL,NULL,NULL,NULL,NULL
531120: LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),531120,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),NULL,NULL,NULL,NULL,NULL
531130: LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,531130,LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,53,531,Real Estate and Insurance,1,0
53119: LESSORS OF OTHER REAL ESTATE PROPERTY,53119,LESSORS OF OTHER REAL ESTATE PROPERTY,NULL,NULL,NULL,NULL,NULL
531190: LESSORS OF OTHER REAL ESTATE PROPERTY,531190,LESSORS OF OTHER REAL ESTATE PROPERTY,NULL,NULL,NULL,NULL,NULL
53121: OFFICES OF REAL ESTATE AGENTS AND BROKERS,53121,OFFICES OF REAL ESTATE AGENTS AND BROKERS,NULL,NULL,NULL,NULL,NULL
531210: OFFICES OF REAL ESTATE AGENTS AND BROKERS,531210,OFFICES OF REAL ESTATE AGENTS AND BROKERS,NULL,NULL,NULL,NULL,NULL
531311: RESIDENTIAL PROPERTY MANAGERS,531311,RESIDENTIAL PROPERTY MANAGERS,53,531,Real Estate and Insurance,1,0
531312: NONRESIDENTIAL PROPERTY MANAGERS,531312,NONRESIDENTIAL PROPERTY MANAGERS,NULL,NULL,NULL,NULL,NULL
53132: OFFICES OF REAL ESTATE APPRAISERS,53132,OFFICES OF REAL ESTATE APPRAISERS,NULL,NULL,NULL,NULL,NULL
531320: OFFICES OF REAL ESTATE APPRAISERS,531320,OFFICES OF REAL ESTATE APPRAISERS,53,531,Real Estate and Insurance,1,0
53139: OTHER ACTIVITIES RELATED TO REAL ESTATE,53139,OTHER ACTIVITIES RELATED TO REAL ESTATE,NULL,NULL,NULL,NULL,NULL
531390: OTHER ACTIVITIES RELATED TO REAL ESTATE,531390,OTHER ACTIVITIES RELATED TO REAL ESTATE,NULL,NULL,NULL,NULL,NULL
532: RENTAL AND LEASING SERVICES,532,RENTAL AND LEASING SERVICES,NULL,NULL,NULL,NULL,NULL
532111: PASSENGER CAR RENTAL,532111,PASSENGER CAR RENTAL,53,532,"Travel, Accommodations and Rental",1,1
532112: PASSENGER CAR LEASING,532112,PASSENGER CAR LEASING,53,532,"Travel, Accommodations and Rental",1,1
"532120: TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",532120,"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",53,532,"Travel, Accommodations and Rental",1,1
532210: CONSUMER ELECTRONICS AND APPLIANCES RENTAL,532210,CONSUMER ELECTRONICS AND APPLIANCES RENTAL,53,532,Information Technology Services and Equipment,1,1
532220: FORMAL WEAR AND COSTUME RENTAL,532220,FORMAL WEAR AND COSTUME RENTAL,NULL,NULL,NULL,NULL,NULL
532230: VIDEO TAPE AND DISC RENTAL,532230,VIDEO TAPE AND DISC RENTAL,NULL,NULL,NULL,NULL,NULL
532291: HOME HEALTH EQUIPMENT RENTAL,532291,HOME HEALTH EQUIPMENT RENTAL,NULL,NULL,NULL,NULL,NULL
532292: RECREATIONAL GOODS RENTAL,532292,RECREATIONAL GOODS RENTAL,NULL,NULL,NULL,NULL,NULL
532299: ALL OTHER CONSUMER GOODS RENTAL,532299,ALL OTHER CONSUMER GOODS RENTAL,53,532,"Travel, Accommodations and Rental",1,1
532310: GENERAL RENTAL CENTERS,532310,GENERAL RENTAL CENTERS,53,532,"Travel, Accommodations and Rental",1,1
"53241: CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",53241,"CONSTRUCTION, TRANSPORTATION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",NULL,NULL,NULL,NULL,NULL
"532411: COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",532411,"COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING",53,532,"Transportation, Logistics and Courier Services",1,1
"532412: CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",532412,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",53,532,"Heavy Machinery/Equipment Generators, A/C and Solar Panels",1,1
532420: OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,532420,OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,53,532,"Office Furniture, Equipment and Supplies",1,1
53249: OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,53249,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,NULL,NULL,NULL,NULL,NULL
532490: OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,532490,OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,53,532,"Heavy Machinery/Equipment Generators, A/C and Solar Panels",1,1
533110: LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),533110,LESSORS OF NONFINANCIAL INTANGIBLE ASSETS (EXCEPT COPYRIGHTED WORKS),NULL,NULL,NULL,NULL,NULL
"541: PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",541,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NULL,NULL,NULL,NULL,NULL
5411: LEGAL SERVICES,5411,LEGAL SERVICES,NULL,NULL,NULL,NULL,NULL
54111: OFFICES OF LAWYERS,54111,OFFICES OF LAWYERS,NULL,NULL,NULL,NULL,NULL
541110: OFFICES OF LAWYERS,541110,OFFICES OF LAWYERS,54,541,Financial and Legal Services,1,1
541120: OFFICES OF NOTARIES,541120,OFFICES OF NOTARIES,NULL,NULL,NULL,NULL,NULL
54119: OTHER LEGAL SERVICES,54119,OTHER LEGAL SERVICES,NULL,NULL,NULL,NULL,NULL
541191: TITLE ABSTRACT AND SETTLEMENT OFFICES,541191,TITLE ABSTRACT AND SETTLEMENT OFFICES,NULL,NULL,NULL,NULL,NULL
541199: ALL OTHER LEGAL SERVICES,541199,ALL OTHER LEGAL SERVICES,54,541,Financial and Legal Services,1,1
"54121: ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",54121,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",NULL,NULL,NULL,NULL,NULL
541211: OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,541211,OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS,NULL,NULL,NULL,NULL,NULL
541213: TAX PREPARATION SERVICES,541213,TAX PREPARATION SERVICES,NULL,NULL,NULL,NULL,NULL
541214: PAYROLL SERVICES,541214,PAYROLL SERVICES,NULL,NULL,NULL,NULL,NULL
541219: OTHER ACCOUNTING SERVICES,541219,OTHER ACCOUNTING SERVICES,54,541,Financial and Legal Services,1,1
"5413: ARCHITECTURAL, ENGINEERING, AND RELATED SERVICES",5413,"ARCHITECTURAL, ENGINEERING, AND RELATED SERVICES",NULL,NULL,NULL,NULL,NULL
54131: ARCHITECTURAL SERVICES,54131,ARCHITECTURAL SERVICES,NULL,NULL,NULL,NULL,NULL
541310: ARCHITECTURAL SERVICES,541310,ARCHITECTURAL SERVICES,54,541,Business and Consulting Services,1,1
541320: LANDSCAPE ARCHITECTURAL SERVICES,541320,LANDSCAPE ARCHITECTURAL SERVICES,54,541,Construction and Renovation,1,1
54133: ENGINEERING SERVICES,54133,ENGINEERING SERVICES,NULL,NULL,NULL,NULL,NULL
541330: ENGINEERING SERVICES,541330,ENGINEERING SERVICES,54,541,Business and Consulting Services,1,1
54134: DRAFTING SERVICES,54134,DRAFTING SERVICES,NULL,NULL,NULL,NULL,NULL
541340: DRAFTING SERVICES,541340,DRAFTING SERVICES,NULL,NULL,NULL,NULL,NULL
54135: BUILDING INSPECTION SERVICES,54135,BUILDING INSPECTION SERVICES,NULL,NULL,NULL,NULL,NULL
541350: BUILDING INSPECTION SERVICES,541350,BUILDING INSPECTION SERVICES,54,541,Business and Consulting Services,1,1
54136: GEOPHYSICAL SURVEYING AND MAPPING SERVICES,54136,GEOPHYSICAL SURVEYING AND MAPPING SERVICES,NULL,NULL,NULL,NULL,NULL
541360: GEOPHYSICAL SURVEYING AND MAPPING SERVICES,541360,GEOPHYSICAL SURVEYING AND MAPPING SERVICES,54,541,Business and Consulting Services,1,1
54137: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,54137,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,NULL,NULL,NULL,NULL,NULL
541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,54,541,Business and Consulting Services,1,1
54138: TESTING LABORATORIES,54138,TESTING LABORATORIES,NULL,NULL,NULL,NULL,NULL
541380: TESTING LABORATORIES,541380,TESTING LABORATORIES,54,541,Business and Consulting Services,1,1
54141: INTERIOR DESIGN SERVICES,54141,INTERIOR DESIGN SERVICES,NULL,NULL,NULL,NULL,NULL
541410: INTERIOR DESIGN SERVICES,541410,INTERIOR DESIGN SERVICES,54,541,Business and Consulting Services,1,1
541420: INDUSTRIAL DESIGN SERVICES,541420,INDUSTRIAL DESIGN SERVICES,54,541,Media and Communication,1,1
54143: GRAPHIC DESIGN SERVICES,54143,GRAPHIC DESIGN SERVICES,NULL,NULL,NULL,NULL,NULL
541430: GRAPHIC DESIGN SERVICES,541430,GRAPHIC DESIGN SERVICES,54,541,Media and Communication,1,1
541490: OTHER SPECIALIZED DESIGN SERVICES,541490,OTHER SPECIALIZED DESIGN SERVICES,54,541,Business and Consulting Services,1,1
5415: COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,5415,COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,NULL,NULL,NULL,NULL,NULL
54151: COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,54151,COMPUTER SYSTEMS DESIGN AND RELATED SERVICES,NULL,NULL,NULL,NULL,NULL
541511: CUSTOM COMPUTER PROGRAMMING SERVICES,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,54,541,Information Technology Services and Equipment,1,1
541512: COMPUTER SYSTEMS DESIGN SERVICES,541512,COMPUTER SYSTEMS DESIGN SERVICES,54,541,Information Technology Services and Equipment,1,1
541513: COMPUTER FACILITIES MANAGEMENT SERVICES,541513,COMPUTER FACILITIES MANAGEMENT SERVICES,54,541,Information Technology Services and Equipment,1,1
541519: OTHER COMPUTER RELATED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,54,541,Information Technology Services and Equipment,1,1
54161: MANAGEMENT CONSULTING SERVICES,54161,MANAGEMENT CONSULTING SERVICES,NULL,NULL,NULL,NULL,NULL
541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,54,541,Business and Consulting Services,1,1
"541612: HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",54,541,Business and Consulting Services,1,1
541613: MARKETING CONSULTING SERVICES,541613,MARKETING CONSULTING SERVICES,54,541,Media and Communication,1,1
"541614: PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",54,541,"Transportation, Logistics and Courier Services",1,1
541618: OTHER MANAGEMENT CONSULTING SERVICES,541618,OTHER MANAGEMENT CONSULTING SERVICES,54,541,Business and Consulting Services,1,1
54162: ENVIRONMENTAL CONSULTING SERVICES,54162,ENVIRONMENTAL CONSULTING SERVICES,NULL,NULL,NULL,NULL,NULL
541620: ENVIRONMENTAL CONSULTING SERVICES,541620,ENVIRONMENTAL CONSULTING SERVICES,54,541,Business and Consulting Services,1,1
54169: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,54169,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,NULL,NULL,NULL,NULL,NULL
541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,54,541,Business and Consulting Services,1,1
5417: SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,5417,SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES,NULL,NULL,NULL,NULL,NULL
"54171: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",54171,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",NULL,NULL,NULL,NULL,NULL
"541710: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",541710,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",NULL,NULL,NULL,NULL,NULL
541711: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,541711,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY,NULL,NULL,NULL,NULL,NULL
"541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NULL,NULL,NULL,NULL,NULL
54172: RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,54172,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,NULL,NULL,NULL,NULL,NULL
541720: RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,54,541,Business and Consulting Services,1,1
541810: ADVERTISING AGENCIES,541810,ADVERTISING AGENCIES,54,541,Media and Communication,1,1
54182: PUBLIC RELATIONS AGENCIES,54182,PUBLIC RELATIONS AGENCIES,NULL,NULL,NULL,NULL,NULL
541820: PUBLIC RELATIONS AGENCIES,541820,PUBLIC RELATIONS AGENCIES,54,541,Media and Communication,1,1
541830: MEDIA BUYING AGENCIES,541830,MEDIA BUYING AGENCIES,54,541,Media and Communication,1,1
541840: MEDIA REPRESENTATIVES,541840,MEDIA REPRESENTATIVES,54,541,Media and Communication,1,1
541850: DISPLAY ADVERTISING,541850,DISPLAY ADVERTISING,54,541,Media and Communication,1,1
54186: DIRECT MAIL ADVERTISING,54186,DIRECT MAIL ADVERTISING,NULL,NULL,NULL,NULL,NULL
541860: DIRECT MAIL ADVERTISING,541860,DIRECT MAIL ADVERTISING,NULL,NULL,NULL,NULL,NULL
541870: ADVERTISING MATERIAL DISTRIBUTION SERVICES,541870,ADVERTISING MATERIAL DISTRIBUTION SERVICES,54,541,Media and Communication,1,1
54189: OTHER SERVICES RELATED TO ADVERTISING,54189,OTHER SERVICES RELATED TO ADVERTISING,NULL,NULL,NULL,NULL,NULL
541890: OTHER SERVICES RELATED TO ADVERTISING,541890,OTHER SERVICES RELATED TO ADVERTISING,54,541,Media and Communication,1,1
"5419: OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",5419,"OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NULL,NULL,NULL,NULL,NULL
541910: MARKETING RESEARCH AND PUBLIC OPINION POLLING,541910,MARKETING RESEARCH AND PUBLIC OPINION POLLING,54,541,Media and Communication,1,1
"541921: PHOTOGRAPHY STUDIOS, PORTRAIT",541921,"PHOTOGRAPHY STUDIOS, PORTRAIT",54,541,Business and Consulting Services,1,1
541922: COMMERCIAL PHOTOGRAPHY,541922,COMMERCIAL PHOTOGRAPHY,NULL,NULL,NULL,NULL,NULL
54193: TRANSLATION AND INTERPRETATION SERVICES,54193,TRANSLATION AND INTERPRETATION SERVICES,NULL,NULL,NULL,NULL,NULL
541930: TRANSLATION AND INTERPRETATION SERVICES,541930,TRANSLATION AND INTERPRETATION SERVICES,54,541,Media and Communication,1,1
54194: VETERINARY SERVICES,54194,VETERINARY SERVICES,NULL,NULL,NULL,NULL,NULL
541940: VETERINARY SERVICES,541940,VETERINARY SERVICES,54,541,"Health, Medicine and Recreation",1,1
"54199: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",54199,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NULL,NULL,NULL,NULL,NULL
"541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",54,541,Business and Consulting Services,1,1
5511: MANAGEMENT OF COMPANIES AND ENTERPRISES,5511,MANAGEMENT OF COMPANIES AND ENTERPRISES,NULL,NULL,NULL,NULL,NULL
551111: OFFICES OF BANK HOLDING COMPANIES,551111,OFFICES OF BANK HOLDING COMPANIES,NULL,NULL,NULL,NULL,NULL
551112: OFFICES OF OTHER HOLDING COMPANIES,551112,OFFICES OF OTHER HOLDING COMPANIES,NULL,NULL,NULL,NULL,NULL
"551114: CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",551114,"CORPORATE, SUBSIDIARY, AND REGIONAL MANAGING OFFICES",NULL,NULL,NULL,NULL,NULL
561: ADMINISTRATIVE AND SUPPORT SERVICES,561,ADMINISTRATIVE AND SUPPORT SERVICES,NULL,NULL,NULL,NULL,NULL
56111: OFFICE ADMINISTRATIVE SERVICES,56111,OFFICE ADMINISTRATIVE SERVICES,NULL,NULL,NULL,NULL,NULL
561110: OFFICE ADMINISTRATIVE SERVICES,561110,OFFICE ADMINISTRATIVE SERVICES,56,561,Business and Consulting Services,1,1
5612: FACILITIES SUPPORT SERVICES,5612,FACILITIES SUPPORT SERVICES,NULL,NULL,NULL,NULL,NULL
56121: FACILITIES SUPPORT SERVICES,56121,FACILITIES SUPPORT SERVICES,NULL,NULL,NULL,NULL,NULL
561210: FACILITIES SUPPORT SERVICES,561210,FACILITIES SUPPORT SERVICES,56,561,Household and Industrial Services,1,1
56131: EMPLOYMENT PLACEMENT AGENCIES AND EXECUTIVE SEARCH SERVICES,56131,EMPLOYMENT PLACEMENT AGENCIES AND EXECUTIVE SEARCH SERVICES,NULL,NULL,NULL,NULL,NULL
561310: EMPLOYMENT PLACEMENT AGENCIES,561310,EMPLOYMENT PLACEMENT AGENCIES,NULL,NULL,NULL,NULL,NULL
561311: EMPLOYMENT PLACEMENT AGENCIES,561311,EMPLOYMENT PLACEMENT AGENCIES,56,561,Business and Consulting Services,1,1
561312: EXECUTIVE SEARCH SERVICES,561312,EXECUTIVE SEARCH SERVICES,NULL,NULL,NULL,NULL,NULL
56132: TEMPORARY HELP SERVICES,56132,TEMPORARY HELP SERVICES,NULL,NULL,NULL,NULL,NULL
561320: TEMPORARY HELP SERVICES,561320,TEMPORARY HELP SERVICES,56,561,Business and Consulting Services,1,1
56133: PROFESSIONAL EMPLOYER ORGANIZATIONS(FORMERLY EMPLOYEE LEASING SERVICES),56133,PROFESSIONAL EMPLOYER ORGANIZATIONS(FORMERLY EMPLOYEE LEASING SERVICES),NULL,NULL,NULL,NULL,NULL
561330: PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),561330,PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),56,561,Business and Consulting Services,1,1
5614: BUSINESS SUPPORT SERVICES,5614,BUSINESS SUPPORT SERVICES,NULL,NULL,NULL,NULL,NULL
561410: DOCUMENT PREPARATION SERVICES,561410,DOCUMENT PREPARATION SERVICES,56,561,Printing and Copying,1,1
561421: TELEPHONE ANSWERING SERVICES,561421,TELEPHONE ANSWERING SERVICES,56,561,Business and Consulting Services,1,1
561422: TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,561422,TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,NULL,NULL,NULL,NULL,NULL
561431: PRIVATE MAIL CENTERS,561431,PRIVATE MAIL CENTERS,56,561,"Transportation, Logistics and Courier Services",1,1
561439: OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),561439,OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),56,561,Printing and Copying,1,1
561440: COLLECTION AGENCIES,561440,COLLECTION AGENCIES,NULL,NULL,NULL,NULL,NULL
561450: CREDIT BUREAUS,561450,CREDIT BUREAUS,NULL,NULL,NULL,NULL,NULL
561491: REPOSSESSION SERVICES,561491,REPOSSESSION SERVICES,NULL,NULL,NULL,NULL,NULL
561492: COURT REPORTING AND STENOTYPE SERVICES,561492,COURT REPORTING AND STENOTYPE SERVICES,NULL,NULL,NULL,NULL,NULL
561499: ALL OTHER BUSINESS SUPPORT SERVICES,561499,ALL OTHER BUSINESS SUPPORT SERVICES,56,561,Business and Consulting Services,1,1
561510: TRAVEL AGENCIES,561510,TRAVEL AGENCIES,NULL,NULL,NULL,NULL,NULL
561520: TOUR OPERATORS,561520,TOUR OPERATORS,NULL,NULL,NULL,NULL,NULL
561591: CONVENTION AND VISITORS BUREAUS,561591,CONVENTION AND VISITORS BUREAUS,NULL,NULL,NULL,NULL,NULL
561599: ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,561599,ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,56,561,"Transportation, Logistics and Courier Services",1,1
561611: INVESTIGATION SERVICES,561611,INVESTIGATION SERVICES,56,561,Security Services and Equipment,1,1
561612: SECURITY GUARDS AND PATROL SERVICES,561612,SECURITY GUARDS AND PATROL SERVICES,56,561,Security Services and Equipment,1,1
561613: ARMORED CAR SERVICES,561613,ARMORED CAR SERVICES,56,561,Security Services and Equipment,1,1
561621: SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),56,561,Security Services and Equipment,1,1
561622: LOCKSMITHS,561622,LOCKSMITHS,56,561,Security Services and Equipment,1,1
561710: EXTERMINATING AND PEST CONTROL SERVICES,561710,EXTERMINATING AND PEST CONTROL SERVICES,56,561,Household and Industrial Services,1,1
56172: JANITORIAL SERVICES,56172,JANITORIAL SERVICES,NULL,NULL,NULL,NULL,NULL
561720: JANITORIAL SERVICES,561720,JANITORIAL SERVICES,56,561,Household and Industrial Services,1,1
56173: LANDSCAPING SERVICES,56173,LANDSCAPING SERVICES,NULL,NULL,NULL,NULL,NULL
561730: LANDSCAPING SERVICES,561730,LANDSCAPING SERVICES,56,561,Household and Industrial Services,1,1
561740: CARPET AND UPHOLSTERY CLEANING SERVICES,561740,CARPET AND UPHOLSTERY CLEANING SERVICES,56,561,Household and Industrial Services,1,1
56179: OTHER SERVICES TO BUILDINGS AND DWELLINGS,56179,OTHER SERVICES TO BUILDINGS AND DWELLINGS,NULL,NULL,NULL,NULL,NULL
561790: OTHER SERVICES TO BUILDINGS AND DWELLINGS,561790,OTHER SERVICES TO BUILDINGS AND DWELLINGS,56,561,Household and Industrial Services,1,1
561910: PACKAGING AND LABELING SERVICES,561910,PACKAGING AND LABELING SERVICES,56,561,Printing and Copying,1,1
561920: CONVENTION AND TRADE SHOW ORGANIZERS,561920,CONVENTION AND TRADE SHOW ORGANIZERS,NULL,NULL,NULL,NULL,NULL
56199: ALL OTHER SUPPORT SERVICES,56199,ALL OTHER SUPPORT SERVICES,NULL,NULL,NULL,NULL,NULL
561990: ALL OTHER SUPPORT SERVICES,561990,ALL OTHER SUPPORT SERVICES,56,561,Household and Industrial Services,1,1
56211: WASTE COLLECTION,56211,WASTE COLLECTION,NULL,NULL,NULL,NULL,NULL
562111: SOLID WASTE COLLECTION,562111,SOLID WASTE COLLECTION,56,562,Household and Industrial Services,1,0
562112: HAZARDOUS WASTE COLLECTION,562112,HAZARDOUS WASTE COLLECTION,56,562,Household and Industrial Services,1,0
562119: OTHER WASTE COLLECTION,562119,OTHER WASTE COLLECTION,56,562,Household and Industrial Services,1,0
56221: WASTE TREATMENT AND DISPOSAL,56221,WASTE TREATMENT AND DISPOSAL,NULL,NULL,NULL,NULL,NULL
562211: HAZARDOUS WASTE TREATMENT AND DISPOSAL,562211,HAZARDOUS WASTE TREATMENT AND DISPOSAL,56,562,Household and Industrial Services,1,0
562212: SOLID WASTE LANDFILL,562212,SOLID WASTE LANDFILL,56,562,Household and Industrial Services,1,0
562213: SOLID WASTE COMBUSTORS AND INCINERATORS,562213,SOLID WASTE COMBUSTORS AND INCINERATORS,56,562,Household and Industrial Services,1,0
562219: OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,562219,OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,56,562,Household and Industrial Services,1,0
56291: REMEDIATION SERVICES,56291,REMEDIATION SERVICES,NULL,NULL,NULL,NULL,NULL
562910: REMEDIATION SERVICES,562910,REMEDIATION SERVICES,56,562,Household and Industrial Services,1,0
56292: MATERIALS RECOVERY FACILITIES,56292,MATERIALS RECOVERY FACILITIES,NULL,NULL,NULL,NULL,NULL
562920: MATERIALS RECOVERY FACILITIES,562920,MATERIALS RECOVERY FACILITIES,56,562,Household and Industrial Services,1,0
562991: SEPTIC TANK AND RELATED SERVICES,562991,SEPTIC TANK AND RELATED SERVICES,56,562,Household and Industrial Services,1,0
562998: ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,562998,ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,56,562,Household and Industrial Services,1,0
61111: ELEMENTARY AND SECONDARY SCHOOLS,61111,ELEMENTARY AND SECONDARY SCHOOLS,NULL,NULL,NULL,NULL,NULL
611110: ELEMENTARY AND SECONDARY SCHOOLS,611110,ELEMENTARY AND SECONDARY SCHOOLS,61,611,Business and Consulting Services,1,1
611210: JUNIOR COLLEGES,611210,JUNIOR COLLEGES,NULL,NULL,NULL,NULL,NULL
"61131: COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",61131,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",NULL,NULL,NULL,NULL,NULL
"611310: COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",61,611,Business and Consulting Services,1,1
611410: BUSINESS AND SECRETARIAL SCHOOLS,611410,BUSINESS AND SECRETARIAL SCHOOLS,NULL,NULL,NULL,NULL,NULL
61142: COMPUTER TRAINING,61142,COMPUTER TRAINING,NULL,NULL,NULL,NULL,NULL
611420: COMPUTER TRAINING,611420,COMPUTER TRAINING,61,611,Business and Consulting Services,1,1
61143: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,61143,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,NULL,NULL,NULL,NULL,NULL
