Unseperated,systemequipmentcode,systemequipmentcodeText,Rank,IsIdentifiedSystemEquipment
381: ASDS ,381,ASDS ,NULL,1
382: TSAT ,382,TSAT ,NULL,1
383: SSN 685 ,383,SSN 685 ,NULL,1
385: JTRS CLUSTER 5 ,385,JTRS CLUSTER 5 ,NULL,1
386: ADS ,386,ADS ,403,1
NULL,387,KC-45A,NULL,1
389: DCGS ARMY ,389,DCGS ARMY ,NULL,1
390: HLR ,390,HLR ,NULL,1
NULL,391,SM-6,NULL,1
NULL,392,VH-71,NULL,1
394: MPS ,394,MPS ,NULL,1
395: PREDATOR B ,395,PREDATOR B ,NULL,1
397: E-2C ,397,E-2C ,NULL,1
3AAA: ,3AAA,A-1 SKYRAIDER,699,1
3AAE: ,3AAE,A-6 INTRUDER,441,1
3AAF: ,3AAF,A-7 CORSAIR II,426,1
NULL,3AAG,A/EA-3 SKYWARRIOR,1500,1
3AAI: ,3AAI,A-37,923,1
NULL,3AAJ,A-9,NULL,1
3AAK: ,3AAK,A-10,170,1
NULL,3ABA,B-26 INVADER,1683,1
3ABC: ,3ABC,B-52 STRATO FORTRESS,132,1
NULL,3ABD,B-47 STRATOJET,NULL,1
NULL,3ABE,B-57 CANBERRA,1522,1
NULL,3ABF,B-58 HUSTLER,NULL,1
NULL,3ABG,B-50 SUPER FORTRESS,1117,1
3ABH: ,3ABH,B-1,57,1
3ABK: ,3ABK,B-2 STEALTH,35,1
NULL,3ABM,B-70 VALKYRIE,1621,1
3ACA: ,3ACA,C-5 GALAXY,90,1
3ACB: ,3ACB,C-7 CARIBOU,764,1
3ACC: ,3ACC,CX-3,738,1
3ACD: ,3ACD,C-130 HERCULES,20,1
3ACE: ,3ACE,CX-2,1255,1
3ACF: ,3ACF,C-121 CONSTELLATION,1407,1
3ACG: ,3ACG,C-47 SKYTRAIN,696,1
3ACH: ,3ACH,C-45 EXPEDITOR,1014,1
3ACJ: ,3ACJ,C-117 SKYTRAIN,1268,1
NULL,3ACK,C-118 LIFTMASTER,NULL,1
NULL,3ACM,C-119 FLYING BOXCAR,1095,1
3ACN: ,3ACN,C-124 GLOBEMASTER,906,1
3ACO: ,3ACO,C-46 COMMANDO,1152,1
NULL,3ACP,C-131 SAMARITAN,1088,1
NULL,3ACQ,C-133 CARGOMASTER,NULL,1
3ACR: ,3ACR,KC-135 STRATOLIFTER,31,1
3ACS: ,3ACS,C-141 STARLIFTER,197,1
NULL,3ACT,C-123 PROVIDER,1462,1
NULL,3ACU,C-9 NIGHTINGALE,697,1
3ACV: ,3ACV,C-137 STRATOLINER,215,1
NULL,3ACW,C-140 JET STAR,1719,1
NULL,3ACY,C-142,1393,1
3ADB: ,3ADB,C-10,146,1
3ADC: ,3ADC,C-12A (CX-X),380,1
NULL,3ADD,C-14,NULL,1
3ADF: ,3ADF,C-18,551,1
3ADG: ,3ADG,C-17A CARGO TRANSPORT,2,1
3ADH: ,3ADH,C-20,230,1
3AEB: ,3AEB,E-2 HAWKEYE,44,1
3AEC: ,3AEC,E-3A,55,1
NULL,3AEE,E-5,NULL,1
3AFA: ,3AFA,F-5 FREEDOM FIGHTER,249,1
3AFB: ,3AFB,F-22 Raptor,6,1
3AFC: ,3AFC,F-4 PHANTOM II,244,1
3AFE: ,3AFE,F-12,782,1
3AFF: ,3AFF,F-15 EAGLE,8,1
3AFG: ,3AFG,F-100 SUPER SABRE,798,1
3AFH: ,3AFH,F-16 FALCON,11,1
NULL,3AFI,F-17,NULL,1
3AFJ: ,3AFJ,F-101 VOODOO,1006,1
3AFK: ,3AFK,F-104 STARFIGHTER,1607,1
NULL,3AFL,F-105 THUNDERCHIEF,NULL,1
3AFM: ,3AFM,F-106 DELTA DART,823,1
3AFN: ,3AFN,F-111,318,1
NULL,3AFP,F-80 SHOOTING STAR,1470,1
3AFR: ,3AFR,F-86 SABRE,1379,1
NULL,3AFS,F-89 SCORPION,1681,1
NULL,3AFT,F-102 DELTA DAGGER,1565,1
3AFU: ,3AFU,F-14 TOMCAT,66,1
3AFV: ,3AFV,F-117 STEALTH,388,1
3AHA: ,3AHA,UH-1 IROQUOIS,119,1
3AHC: ,3AHC,H-3 SEA KING,1121,1
3AHD: ,3AHD,H-3 JOLLY GREEN GIANT,710,1
3AHL: ,3AHL,HH-53 SUPER JOLLY,265,1
3AHP: ,3AHP,CH-53 SEA STALLION,128,1
NULL,3AHX,CH-34 CHOCTAW,NULL,1
3AIA: ,3AIA,UH-60 UTTAS BLACK HAWK,474,1
3AMB: ,3AMB,AABNCP-E4,224,1
NULL,3AME,J9-C TANKER ACT CONV OF 707,NULL,1
3AOB: ,3AOB,O-2,1253,1
NULL,3ARA,SR-71,NULL,1
3ARE: ,3ARE,RF-4C,199,1
3ATA: ,3ATA,T-37,410,1
3ATB: ,3ATB,T-38 TALON,179,1
3ATC: ,3ATC,T-39 SABRELINER,313,1
NULL,3ATE,T-41 MESCALERO,NULL,1
NULL,3ATK,T-29 FLYING CLASSROOM,NULL,1
3ATL: ,3ATL,T-33 SHOOTING STAR,1293,1
NULL,3ATM,T-34 MENTOR,161,1
NULL,3ATO,T-28 TROJAN,1405,1
NULL,3ATS,T-43,681,1
NULL,3AUA,U-1 OTTER,NULL,1
3AUJ: ,3AUJ,U-2,71,1
NULL,3AUK,U-3,NULL,1
NULL,3AUL,U-4 AERO COMMANDER,NULL,1
NULL,3AUM,U-5,NULL,1
3AVJ: ,3AVJ,OV-10 LARA (NOW BRONCO),1173,1
3AWC: ,3AWC,X-22,1796,1
NULL,3BJA,J-33,NULL,1
3BJD: ,3BJD,J-58,630,1
3BJE: ,3BJE,J-60,1690,1
3BJG: ,3BJG,J-69,508,1
3BJH: ,3BJH,J-57,1362,1
NULL,3BJI,J-75,1004,1
3BJJ: ,3BJJ,J-79,665,1
3BJL: ,3BJL,J-85,229,1
NULL,3BJM,JT3D-3,NULL,1
NULL,3BJN,JT8D-9,NULL,1
NULL,3BRC,VO-540,NULL,1
NULL,3BRD,R-1830,NULL,1
NULL,3BRE,R-3350,NULL,1
NULL,3BRF,R-4360,NULL,1
NULL,3BRI,I0-360D,NULL,1
NULL,3BRJ,0-300D,NULL,1
3BSD: ,3BSD,TF-30,393,1
3BSF: ,3BSF,A-10,170,1
3BSG: ,3BSG,TF-33,151,1
3BSH: ,3BSH,TF-34,217,1
3BSJ: ,3BSJ,TF-39,84,1
3BSL: ,3BSL,TF-41,1528,1
3BSN: ,3BSN,F-110,76,1
3BSP: ,3BSP,F-101,111,1
NULL,3BSQ,F-103,1334,1
3BSR: ,3BSR,F-100 Engine,17,1
3BSS: ,3BSS,F-108,162,1
3BST: ,3BST,F-100 UPGRADE,491,1
NULL,3BTB,T-53,NULL,1
3BTD: ,3BTD,T-56,102,1
3BTF: ,3BTF,T-58,243,1
3BTK: ,3BTK,T-64,319,1
3BTM: ,3BTM,T-76,1426,1
3BTN: ,3BTN,T-400,742,1
3CAA: ,3CAA,BALLISTIC MISSILE DEFENSE SYS,5,1
3CEA: ,3CEA,DEF METEOR SAT PROG,213,1
NULL,3CLA,MLV II MEDIUM LAUNCH VEHICLE,NULL,1
NULL,3CLB,LAUNCHER LAU-3A,NULL,1
NULL,3CLF,DELTA II BOOSTER PROGRAM,NULL,1
3CLL: ,3CLL,EVOLVED EXPENDABLE LV PROGRAM,191,1
NULL,3CMA,CGM/HGM-16 ATLAS,NULL,1
3CMB: ,3CMB,AIM-7 SPARROW,427,1
NULL,3CMC,H/LGM 25 TITAN,1809,1
3CMD: ,3CMD,AIM-9 SIDEWINDER,257,1
3CMG: ,3CMG,BQM-34 FIREBEE,582,1
3CMJ: ,3CMJ,ADM-20 QUAIL,691,1
NULL,3CMK,AGM-45 SHRIKE,NULL,1
NULL,3CML,AGM-28 HOUND DOG,NULL,1
3CMN: ,3CMN,AGM-65 MAVERICK,381,1
3CMS: ,3CMS,AGM-69 SRAM(SHT RG ATTK MSL),279,1
3CMU: ,3CMU,LGM-30 MINUTEMAN,104,1
NULL,3CMV,AGM-80 VIPER,NULL,1
NULL,3CNA,NULL,NULL,1
NULL,3CNE,XQM-94,NULL,1
3CNF: ,3CNF,ZAGM-86,405,1
NULL,3CNG,AIM-97,NULL,1
3CNJ: ,3CNJ,MX-MISSILE,832,1
3CNL: ,3CNL,IUS FULL SCALE DEVELOP SYS,261,1
3CNM: ,3CNM,AMRAAM,43,1
3CNN: ,3CNN,SPACE DEF SYSTEM 64406F,484,1
3CNP: ,3CNP,SPACE SHUTTLE 64411F,1246,1
3CNQ: ,3CNQ,ASMS ADV STRATEGIC MSL SYS,254,1
3CNS: ,3CNS,AGM-88 HARM,239,1
3CNT: ,3CNT,SICBM SM INT BALL MSL,1811,1
NULL,3CNU,AGM-84 HARPOON,140,1
3CNV: ,3CNV,PEACEKEEPER MISSILE,172,1
3CNY: ,3CNY,BGM-109 TOMAHAWK,64,1
NULL,3CNZ,TACIT RAINBOW MISSILE,NULL,1
3CPA: ,3CPA,TITAN IV LAUNCH VEH PROGRAM,22,1
NULL,3CPB,ADVANCED CRUISE MISSILE,NULL,1
NULL,3CPC,PEACEKEEPER RAIL GARRISON,827,1
3CPF: ,3CPF,AGM-129/A ADV CRUISE MISSILE,443,1
NULL,3CRN,PWN-11 PROBE,NULL,1
3DAA: ,3DAA,PREDATOR UAV,266,1
NULL,3DBC,BUS 28 PAX,NULL,1
NULL,3DBE,CLEANER RUNWAY/STREET,1093,1
3DBF: ,3DBF,SEDAN 4 DR 4X2,953,1
NULL,3DBI,ARMORED VEHICLE,NULL,1
NULL,3DEA,CRANE 750 TON,1721,1
NULL,3DIA,SEMI TRAILER 20 TON,1680,1
NULL,3DKA,INDUSTRIAL WHEELED,NULL,1
3DKC: ,3DKC,AIRCRAFT TOW MB-2,824,1
NULL,3DKD,AIRCRAFT TOW MB-4,1495,1
3DKE: ,3DKE,TOW FLIGHTLINE,480,1
NULL,3DNA,CRASH P-2,NULL,1
NULL,3DNB,CRASH P-4,NULL,1
3DNC: ,3DNC,LOADER A/C 40K,1190,1
NULL,3DNF,CARGO 1/2 TON 4X2,NULL,1
NULL,3DNG,CARGO 3/4 TON 4X4,NULL,1
NULL,3DNH,PANEL 1 TON 4X2,1726,1
3DNK: ,3DNK,TANK FUEL R-9 5000 GAL,719,1
NULL,3DNP,PICKUP 1/2 TON 4X2,NULL,1
NULL,3DNQ,FIRE HIGH CAPACITY,NULL,1
NULL,3DPB,TANK LIQUID NITROGEN C-5,1682,1
NULL,3DPD,FORKLIFT 4000 LB,NULL,1
3DPE: ,3DPE,FORKLIFT 6000 LB,1562,1
NULL,3DPF,"FORKLIFT 10,000 LB",854,1
NULL,3DPH,CRASH P-10,NULL,1
3DPJ: ,3DPJ,LOADER A/C 25K,803,1
NULL,3DPM,TRACTOR 5 TON,NULL,1
NULL,3DPS,CARGO UTILITY 1/2 TON 4X2,NULL,1
NULL,3DPV,LIFT MJ-1B,1632,1
NULL,3DPX,MULTISTOP 1-T,NULL,1
NULL,3EBA,7.62MM M60 MACHINE GUN,446,1
3EBB: ,3EBB,GPU-5A 3UMM POD,1269,1
3EBC: ,3EBC,GAU-5 MACHINE GUN,1151,1
NULL,3EBE,81MM MORTAR,NULL,1
NULL,3EBF,9 MM HANDGUN,NULL,1
NULL,3FAA,AGM-62/A WALLEYE,NULL,1
NULL,3FAH,E-O BOMB GUIDANCE KIT,NULL,1
3FAL: ,3FAL,MK-82 500 LB,811,1
NULL,3FBF,38 CALIBER,NULL,1
NULL,3FBU,NULL,NULL,1
3FCS: ,3FCS,IMPULSE ARD-863-1,1180,1
NULL,3FIB,BDU-38 PRACTICE,NULL,1
3FIC: ,3FIC,GBU-15,298,1
NULL,3FIE,BSU-50 AIR INFLATE RETARD,1689,1
NULL,3FIG,CBU-89 TMD/GATOR,NULL,1
NULL,3FII,BIGEYE,NULL,1
NULL,3FIK,CAS,NULL,1
NULL,3FKB,FMU-113/B,1710,1
NULL,3FKM,FMU-124,NULL,1
NULL,3FKR,FMU-130,NULL,1
3GAA: ,3GAA,AN/AFQ-137,1798,1
NULL,3GAC,AN/TSW-7 AIR CENTR CNTRL SYS,1395,1
3GAD: ,3GAD,GEODSS,705,1
3GAE: ,3GAE,AN/ALQ-135,349,1
3GAF: ,3GAF,AN/ALQ-122 ECM SYS,612,1
3GAG: ,3GAG,AN/ALQ-155,868,1
3GAH: ,3GAH,AN/ALR-46,1616,1
3GAI: ,3GAI,AN/ALQ-131,323,1
3GAJ: ,3GAJ,NAVSTAR,135,1
NULL,3GAM,AN/ALR-45,1171,1
NULL,3GAO,AN/DLQ-3B ECM SET,NULL,1
3GAQ: ,3GAQ,AN/ALR-62 COUNTERMEASURES,954,1
3GAR: ,3GAR,AN/ALR-31 ELEC COUNTERMEASUR,1744,1
3GAT: ,3GAT,GSSI GRND SUP SYS INTEG,1077,1
3GAU: ,3GAU,AN/ALQ-119,342,1
NULL,3GAV,AN/ALQ-26 PAVE TACK,NULL,1
3GAW: ,3GAW,AN/ALE-40 COUNTERMEASURES,465,1
NULL,3GAX,AN/ALQ-125 TEREC,1793,1
NULL,3GAY,AN/ALQ-153 TAIL WARNING SYSTM,1236,1
3GBH: ,3GBH,AN/ALQ-101 ECM,1771,1
NULL,3GBI,WINDJAMMER,1631,1
NULL,3GBJ,HAVE QUICK,NULL,1
3GBN: ,3GBN,LANTIRN,256,1
NULL,3GBQ,SPADOC,682,1
3GBT: ,3GBT,PEACE HAWK,996,1
NULL,3GBU,PEACE QUIET,1551,1
3GBV: ,3GBV,PEACE SHIELD PROGRAM,109,1
NULL,3GBZ,COMBAT GRANDE,NULL,1
NULL,3GCA,DMMIS,1781,1
NULL,3GCB,MACC2IPS,NULL,1
NULL,3GCC,RDB,711,1
NULL,3GCD,CDMS,NULL,1
3GCI: ,3GCI,AN/ALE-50,174,1
NULL,3GDA,MARK XII PROGRAM,554,1
NULL,3GDB,AN/FSC-78,1659,1
NULL,3GDC,M-X CMD CTRL & COMM SYS,NULL,1
3GDE: ,3GDE,DSCS-3 DEF STAT COMM SYS,258,1
3GDF: ,3GDF,OPTION GRND COMM NETWORK,435,1
3GDH: ,3GDH,JOINT TACTCL INF DSPLY SYS ASI,818,1
NULL,3GDI,AHTSQ-111(Z),NULL,1
NULL,3GDK,ESS-DIGIT EURO BACK COMMUN SYS,NULL,1
3GDL: ,3GDL,JOINT TAC INFO DIST SYS/TERM P,205,1
NULL,3GDQ,GWEN,NULL,1
NULL,3GFB,AN/UGC-129,947,1
3GFF: ,3GFF,CHEYENNE MOUNTAIN UPGRADE,877,1
NULL,3GFJ,AN/UGC-141,NULL,1
3GFK: ,3GFK,MILSTAR,36,1
NULL,3GMA,AN/ASD-1 ARBNE ELECT SUB-SYS,1451,1
3GMB: ,3GMB,AN/FPS-108 PHASED ARRAY RADAR,982,1
3GMC: ,3GMC,AN/ALR-56 WARNING RECVR,337,1
3GMD: ,3GMD,AN/MPS-T1 RADAR CONTROL VAN,1064,1
3GME: ,3GME,AN/APR-38,1439,1
NULL,3GMF,AN/MES-T1 RADAR SETS,NULL,1
NULL,3GMG,AN/APR-39,488,1
NULL,3GMK,AN/APS-107,NULL,1
NULL,3GMN,AN/APQ-113 ATTACK,NULL,1
NULL,3GMP,AN/APQ-114 ATTACK,NULL,1
NULL,3GMQ,ARN-118 TACAN,1166,1
NULL,3GMS,ARN-127 VOR/ILS,NULL,1
NULL,3GMT,AN/APN-147 DOPPLER,NULL,1
NULL,3GMU,AN/APN-153 DOPPLER,NULL,1
3GMW: ,3GMW,AN/APN-159 BOMB NAV & FR CTRL,1381,1
3GMX: ,3GMX,AN/APN-169 STATION KEEPING,1018,1
NULL,3GMY,AN/APN-175 DOPPLER,1573,1
NULL,3GNB,AN/APA-74,NULL,1
NULL,3GNC,AN/APA-92,NULL,1
NULL,3GNE,AN/APQ-119,NULL,1
NULL,3GNG,AN/GPS-6,924,1
NULL,3GNH,AWADS FOR C-130,1327,1
3GNJ: ,3GNJ,AN/APN-59 WEATHER RADAR,1302,1
NULL,3GNN,AN/APQ-161,1664,1
3GNP: ,3GNP,AN/FSD JOINT STARS,40,1
3GNQ: ,3GNQ,AN/ALR-69,758,1
NULL,3GNR,AN/APQ-102 RADAR SYS,NULL,1
NULL,3GNS,AN/APN-218 DOPPLER,1619,1
3GNT: ,3GNT,AN/APN-221 DOPPLER,1354,1
3GNV: ,3GNV,IMPROVED RADAR SIMULATOR,1400,1
3GNW: ,3GNW,AN/FPS-117 RADAR SEEK IGLOO,475,1
NULL,3GNX,ESGN TEST EQUIP,NULL,1
3GNY: ,3GNY,PAVEPAWS,656,1
NULL,3GPA,AN/ARC-34,NULL,1
NULL,3GPD,AN/ARC-88,NULL,1
NULL,3GPE,AN/TRU-6 TRANSMITTER,NULL,1
NULL,3GPF,AN/TSC-60,NULL,1
3GPG: ,3GPG,AN/GRC-171,754,1
NULL,3GPH,AN/ARN-92 LORAN D,NULL,1
3GPJ: ,3GPJ,AN/TRC-170 RADIO,969,1
NULL,3GPL,AN/GRT-21/22,1642,1
NULL,3GPM,AN/ARC-143 RADIO SET,NULL,1
3GPN: ,3GPN,AN/PRC-90 RADIO,749,1
3GPR: ,3GPR,AN/ARC-186 RADIO,988,1
3GPU: ,3GPU,AN/GRC-212,1175,1
NULL,3GPV,AN/TRC-97A,NULL,1
3GPW: ,3GPW,AN/GRC-206,1453,1
NULL,3GPX,AN/UXC-4,NULL,1
3GPY: ,3GPY,AN/ARC-164 (V),1089,1
NULL,3GQC,AN/AXQ-16 COCKPIT TV SENSOR,1777,1
3GQF: ,3GQF,AN/TPS-43,1258,1
NULL,3GQM,OTH-B,NULL,1
3GQN: ,3GQN,AN/FPQ-16,635,1
3GQP: ,3GQP,MOTIF,593,1
NULL,3GRB,AN/TRQ-35(V),NULL,1
3GWA: ,3GWA,407L TACTICAL AIR CONTROL SY,1318,1
3GWD: ,3GWD,404L TRAFF CNTRL & LAND SYS,802,1
NULL,3GWE,425L NORAD COC,NULL,1
3GWH: ,3GWH,433L WEATHER SYSTEM,842,1
NULL,3GWI,440L FWD SCATTER OTH RAD,NULL,1
NULL,3GWL,466L ELECTROMAGNETIC INTEL S,1329,1
3GWO: ,3GWO,411L AWACS,345,1
3GWQ: ,3GWQ,474L BMEWS,288,1
NULL,3GWR,413L DEW LINE,1370,1
NULL,3GWY,486L DEEP SEA,NULL,1
NULL,3GWZ,487L SLFCS,NULL,1
NULL,3GXB,490L AUTOVON DCS AUTOMATIC V,1770,1
NULL,3GXD,492L US STRICOM COMMAND CONT,NULL,1
NULL,3GXF,494L ERCS EMERG RKT COMM SYS,1772,1
NULL,3GXH,496L SPADATS SPACETRACK,594,1
NULL,3GXJ,483L DIGITAL COMM SYS,NULL,1
NULL,3GXK,487M SPECIAL PURP COMM SYS,NULL,1
3GXO: ,3GXO,427M CHEYENNE,336,1
NULL,3GXQ,485L TAC AIR CTRL SYS,NULL,1
NULL,3GXS,436M SAC CMD & CTRL,NULL,1
NULL,3GXU,478T CTC (TRI-TAC),NULL,1
3GYA: ,3GYA,AF INT COM CTRL SYS,88,1
3GYB: ,3GYB,IDHS INTELLIGENCE DATA HANDL,1780,1
NULL,3GYC,COMPASS EARS,NULL,1
3GYD: ,3GYD,NPOESS (DOC/NOAA),297,1
NULL,3GYF,AIRCOM SPACECOM,NULL,1
3GYG: ,3GYG,EASTERN TEST RANGE,171,1
3GYI: ,3GYI,AFSATCOMM,377,1
3GYL: ,3GYL,DEFENSE SUPPORT PROGRAM,296,1
NULL,3GYM,DSSCS DEF SPEC SECUR COM SYS,NULL,1
3GYO: ,3GYO,COBRA DANE,631,1
NULL,3GYP,SEEK SKYHOOK,NULL,1
3GYR: ,3GYR,COBRA JUDY,544,1
NULL,3GYT,WWMCCS (DSP) 12431F,1422,1
NULL,3GYU,ROYAL THAI AIR DEF SYS (RTADS),1457,1
NULL,3GYV,SACDIN,NULL,1
3GYW: ,3GYW,N WARNING SYS PROG/EX DEWLINE,1389,1
NULL,3GYX,CCPDS - REPLACE PROG/NORAD,1017,1
3GYY: ,3GYY,AFSCN,183,1
3GYZ: ,3GYZ,DEF MET SAT PROGRAM (DMSP),220,1
NULL,3HBH,FLARE MJU-10,NULL,1
NULL,3HDB,30-E EMU GENERATOR,1713,1
NULL,3HDC,100 KW MOD MER-007,1391,1
NULL,3HDD,15 KW,NULL,1
NULL,3HDE,60 KW,1284,1
NULL,3HDF,72 KW,NULL,1
3HDG: ,3HDG,750 KW,362,1
3HDH: ,3HDH,200 KW MOD MEP-009,1106,1
NULL,3HDI,MD-4,NULL,1
NULL,3HDK,M 32-60A,1464,1
3HXA: ,3HXA,AIR CARGO MATERIALS HAND 463L,457,1
3HXB: ,3HXB,HUSH HOUSE,675,1
NULL,3HXC,AIR CONDITIONER AM32C10C,1326,1
NULL,3HXD,AIR CONDITIONER A3,1558,1
3HXE: ,3HXE,ENGINE GAS TURB AN/32 85-180,1058,1
NULL,3HXF,AIR CONDITIONER MA-3,1505,1
NULL,3HXG,NULL,NULL,1
3HXH: ,3HXH,ANTENNA TEST STATION,1129,1
NULL,3HXI,AUTO TEST SYSTEM A15/DQ/GSM,1557,1
NULL,3HXL,CALIBRATOR WETTMETER,1739,1
NULL,3HXN,CONTAINER EXPANDABLE SHELTER,1711,1
NULL,3HXP,DEICING UNIT ACFT,NULL,1
NULL,3HXQ,DISTRIBUTION CENTER SECONDARY,885,1
3HXR: ,3HXR,ENGINE TEST STAND,943,1
3HXS: ,3HXS,HANGER AIRCRAFT,1413,1
3HXT: ,3HXT,HEATER H-1,1174,1
3HXU: ,3HXU,HELMET SYSTEM HGU-51/PCD,708,1
NULL,3HXW,HYDRAULIC TEST STAND MK-3A,1652,1
NULL,3HXX,NULL,NULL,1
3HXZ: ,3HXZ,MAC C3 SUPPORT,436,1
3HYB: ,3HYB,MOBILE ARRESTING BARRIERS,1094,1
3HYC: ,3HYC,MODERNIZATION,559,1
NULL,3HYE,NOISE SUPPRESSOR,NULL,1
3HYF: ,3HYF,PACER SPEAK,1641,1
NULL,3HYG,PACER BOUNCE HF RADIO,NULL,1
3HYH: ,3HYH,PHOTO PROC INTREP SYS,1613,1
3HYN: ,3HYN,SHELTER GENERAL PURPOSE,792,1
3HYQ: ,3HYQ,SIGNAL GENERATOR 2.0-18.0GHZ,1197,1
3HYS: ,3HYS,SPECTRUM ANALYZER,1107,1
NULL,3HYT,TEST SET RCVR  CTRL ALM191,1481,1
3HYU: ,3HYU,TEST SET AIR DATA COMPUTER,1441,1
NULL,3HYV,TEST SET TTU 205 C/E,NULL,1
NULL,3HYX,TOW BAR CLASS I,NULL,1
3HYY: ,3HYY,WAREHOUSING SYSTEM AUTOMATED,1371,1
3ZBC: ,3ZBC,BASE REALIGN & CLOS (BRAC) ENV,56,1
3ZDE: ,3ZDE,DEF ENVIR & RESTORA PRG (DERP),34,1
3ZOP: ,3ZOP,OTHER ENVIRONMENTAL PROGRAMS,33,1
400: DSCS II ,400,DSCS II ,NULL,1
4000: ,4000,NOT DISCERNABLE OR CLASSIFIED,NULL,0
401: MINUTEMAN III ,401,MINUTEMAN III ,NULL,1
403: FB-111A ,403,FB-111A ,NULL,1
404: B-1 ,404,B-1 ,NULL,1
406: SPARROW (AIM-7E) (AF) ,406,SPARROW (AIM-7E) (AF) ,NULL,1
407: DRAGON ,407,DRAGON ,NULL,1
409: M60A2 TANK ,409,M60A2 TANK ,NULL,1
414: CVN-68 ,414,CVN-68 ,NULL,1
415: CVN-69 ,415,CVN-69 ,NULL,1
NULL,418,NULL,NULL,1
NULL,419,NULL,NULL,1
NULL,424,NULL,NULL,1
NULL,426,NULL,NULL,1
4CAA: ,4CAA,BALLISTIC MISSILE DEFENSE SYS,5,1
5000: ,5000,NOT DISCERNABLE OR CLASSIFIED,NULL,0
503: JDAM ,503,JDAM ,80,1
508: UHF FOLLOW-ON ,508,UHF FOLLOW-ON ,NULL,1
NULL,511,NULL,NULL,1
514: JTUAV ,514,JTUAV ,NULL,1
515: EFV (AAAV) ,515,EFV (AAAV) ,310,1
516: SSN 774 ,516,SSN 774 ,203,1
517: CMU ,517,CMU ,NULL,1
524: AWACS RSIP (E-3) ,524,AWACS RSIP (E-3) ,255,1
525: CGS ,525,CGS ,370,1
526: AFATDS (ATCCS) ,526,AFATDS (ATCCS) ,NULL,1
530: AV-8B REMANUFACTURE ,530,AV-8B REMANUFACTURE ,399,1
531: PATRIOT/MEADS ,531,PATRIOT/MEADS ,NULL,1
NULL,532,NULL,NULL,1
534: TACIT RAINBOW (JGL) ,534,TACIT RAINBOW (JGL) ,NULL,1
NULL,536,NULL,NULL,1
537: NAS ,537,NAS ,577,1
541: LONGBOW HELLFIRE ,541,LONGBOW HELLFIRE ,189,1
542: LPD 17 ,542,LPD 17 ,38,1
545: ATACMS BAT ,545,ATACMS BAT ,378,1
548: C-130H ,548,C-130H ,NULL,1
549: F/A-18 E/F ,549,F/A-18 E/F ,15,1
551: NESP ,551,NESP ,458,1
553: THAAD ,553,THAAD ,1614,1
554: MIDS-LVT ,554,MIDS-LVT ,118,1
555: JASSM ,555,JASSM ,157,1
557: CRUSADER ,557,CRUSADER ,NULL,1
560: JPATS ,560,JPATS ,228,1
561: MLR ,561,MLR ,NULL,1
565: STRATEGIC SEALIFT ,565,STRATEGIC SEALIFT ,975,1
568: SMART-T ,568,SMART-T ,260,1
571: ATS ,571,ATS ,NULL,1
575: ABRAMS UPGRADE ,575,ABRAMS UPGRADE ,42,1
578: NAVY AREA TBMD ,578,NAVY AREA TBMD ,NULL,1
580: FAAD C2I(ATCCS) ,580,FAAD C2I(ATCCS) ,583,1
581: AIM-9X ,581,AIM-9X ,235,1
582: CEC ,582,CEC ,216,1
592: T-AKE ,592,T-AKE ,762,1
5ZBC: ,5ZBC,BASE REALIGN & CLOS (BRAC) ENV,56,1
5ZDE: ,5ZDE,DEF ENVIR & RESTORA PRG (DERP),34,1
5ZOP: ,5ZOP,OTHER ENVIRONMENTAL PROGRAMS,33,1
5ZSE: ,5ZSE,ENVIR PROTECT AGENCY SUPERFUND,74,1
601: BRADLEY UPGRADE ,601,BRADLEY UPGRADE ,202,1
700: ACM ,700,ACM ,NULL,1
708: ATM ,708,ATM ,NULL,1
NULL,716,NULL,NULL,1
720: ATCCS-CHS ,720,ATCCS-CHS ,NULL,1
724: MCS (ATCCS) ,724,MCS (ATCCS) ,1224,1
735: SADARM ,735,SADARM ,NULL,1
743: ASM ,743,ASM ,NULL,1
746: FMTV ,746,FMTV ,120,1
747: PLS (FHTV) ,747,PLS (FHTV) ,NULL,1
752: NATO AAWS ,752,NATO AAWS ,NULL,1
755: B-2A ,755,B-2A ,100,1
761: HFAJ ,761,HFAJ ,NULL,1
766: JSOW ,766,JSOW ,290,1
769: LAV (NAVY) ,769,LAV (NAVY) ,NULL,1
770: LSD 41 CARGO VAR ,770,LSD 41 CARGO VAR ,NULL,1
771: MCM 1 ,771,MCM 1 ,NULL,1
775: SURTASS (T-AGOS) ,775,SURTASS (T-AGOS) ,NULL,1
779: ATARS ,779,ATARS ,NULL,1
782: B-52 OAS/CMI MODS ,782,B-52 OAS/CMI MODS ,NULL,1
788: MILSTAR ,788,MILSTAR ,36,1
793: RAIL GARRISON ,793,RAIL GARRISON ,NULL,1
795: STINGRAY ,795,STINGRAY ,NULL,1
831: LONGBOW APACHE ,831,LONGBOW APACHE ,NULL,1
832: EMSP ,832,EMSP ,NULL,1
8711: ,8711,,NULL,1
8712: ,8712,,NULL,1
948: AVENGER (FAADS LOS-R) ,948,AVENGER (FAADS LOS-R) ,NULL,1
963: NMD ,963,NMD ,940,1
A6: ,A6,,NULL,1
AAC: A-4 SKYHAWK,AAC,A-4 SKYHAWK,NULL,1
NULL,AAK,NULL,NULL,1
