projectText	ProjectID	MinOfstartFiscalYear	MaxOfEndFiscalYear
PERSHING II 	8	2007	2008
PERSONNEL CARRIER M113	214	1990	1993
Phalanx CIWS	894	NULL	NULL
PHOENIX (AIM-54A/B) 	40	2007	2012
PHOENIX (AIM-54C) 	65	2007	NULL
PHOTO PROC INTREP SYS	1782	1990	2000
PHYSICAL SECURITY SYSTEMS	596	1995	2003
PICKUP 1/2 TON 4X2	1573	1990	1992
PIONEER UNMANNED AERIAL V	884	NULL	NULL
PIONEER UNMANNED AERIAL VEH	884	1995	2003
PKI	1979	2004	NULL
PKI INC 2	2201	2017	NULL
PLS (FHTV) 	1858	2008	2013
POSEIDON 	1316	2008	NULL
PP-1451/G ELEC POWER SUPP	407	NULL	NULL
PP-1451/G ELEC POWER SUPPLY	407	1992	1992
PQM-56	855	1990	1992
PREDATOR 	676	2006	NULL
PREDATOR B 	1386	2011	NULL
PREDATOR UAV	880	1997	2003
PROPHET SYSTEM 	1327	2004	2013
PRP BRTNG & MESSNG BRG YR	1254	NULL	NULL
PRP BRTNG & MESSNG BRG YRBNL	1254	1990	2010
PRV 	1328	2004	NULL
PUMP, ASSY LIQ GAS WHL 35	597	NULL	NULL
PUMP, ASSY LIQ GAS WHL 350 GPM	597	1995	2003
PWN-11 PROBE	1554	1991	1992
QCK RESP MULTI-CLR PTR QR	471	NULL	NULL
QCK RESP MULTI-CLR PTR QRMP	471	1995	2001
QH-50	112	1990	1993
QH-50 DASH	757	1989	1998
QM-107 GD MSL TGT SYS	154	1990	2003
QUICK ERECT ANTENNA MAST	546	2002	2002
R-1820	813	1990	1990
R-1830	1493	1991	1991
R-3350	1494	NULL	NULL
R-4360	1495	1990	1991
RA-5 VIGILANTE	706	1990	2003
RADIATION MONITORING SYST	582	NULL	NULL
RADIATION MONITORING SYSTEM	582	1994	2002
RAH 66 COMMANCHE	117	1997	2009
RAIL GARRISON 	1870	2008	2008
RCAS	1956	2004	2013
RDB	1635	1991	1998
RECOVERY VEHICLE (FT) M57	205	NULL	NULL
RECOVERY VEHICLE (FT) M578	205	1990	1993
RECOVERY VEHICLE M88 IMPR	185	NULL	NULL
RECOVERY VEHICLE M88 IMPROVED	185	1994	2003
RECOVERY VEHICLE M88 MED	204	1990	1993
REFRIGERATION EQUIPMENT	598	1994	1997
REMOTE SENSING CHEM AGENT	583	NULL	NULL
REMOTE SENSING CHEM AGENT ALRM	583	1998	2003
REPAIR SHIP AIRCRAFT	1270	1990	2010
REPAIR SHIP AIRCRAFT-ARVA	1271	1991	1991
REPR & CABLE LAYING SHIP-	1272	NULL	NULL
REPR & CABLE LAYING SHIP-ARC	1272	1989	2003
REPR SHP LANDING CRAFT-AR	1273	NULL	NULL
REPR SHP LANDING CRAFT-ARL	1273	1990	1990
RESCH SHP OCEANOGRAPHIC-A	1276	NULL	NULL
RESCH SHP OCEANOGRAPHIC-AGOR	1276	1989	2002
RESCUE & SALVAGE SHIP	1274	1993	2013
RESCUE SHIP SUBMARINE-ASR	1275	1989	1994
RESEARCH SHIP ESCORT-AGDE	1277	1990	1990
RESEARCH SHP TECHNICAL-AG	1278	NULL	NULL
RESEARCH SHP TECHNICAL-AGTR	1278	1991	1992
RF-4C	1465	1990	2013
RIM 7-H-2 NATO SEA SPARRO	848	NULL	NULL
RIM 7-H-2 NATO SEA SPARROW	848	1990	2013
RIM-2 TERRIER	830	1992	1992
RIM-24 TARTER	845	1990	2003
RIM-66 STANDARD MISSILE (	1914	NULL	NULL
RIM-66 STANDARD MISSILE (MED)	1914	2000	NULL
RIM-66 STANDARD MISSILE(M	841	NULL	NULL
RIM-66 STANDARD MISSILE(MED)	841	1989	2013
RIM-67 STANDARD MISSILE(E	842	NULL	NULL
RIM-67 STANDARD MISSILE(EXT)	842	1990	2011
RIM-85	856	1996	2009
RMS	691	2015	NULL
ROCKET LAUNCHER LAU-10	826	1991	2003
ROCKET LAUNCHER LAU-68	825	1991	2000
ROCKEYE	340	1991	1993
ROYAL THAI AIR DEF SYS (R	1741	NULL	NULL
ROYAL THAI AIR DEF SYS (RTADS)	1741	1991	1998
RPV (AQUILA) 	640	2008	NULL
RPV (STING RAY)	203	1990	1993
RSA DINING FACILITY 	2020	2009	NULL
RU-21	121	1990	1991
RV-1	120	1991	2003
S-2 TRACKER	779	1990	2003
S-3 VIKING	781	1988	NULL
S-3A 	1317	2007	2009
S-61R	758	1991	2003
SACDIN	1742	1990	1992
SADARM 	1855	2009	NULL
SAFEGUARD 	1335	2008	NULL
SALVAGE CRAFT TENDER-ARST	1280	1990	1990
SALVAGE SHIP-ARS	1279	1990	2003
SARGO I-II SUBMARINE	1150	NULL	NULL
SAT TERM, ADVANCED MPK UH	465	NULL	NULL
SAT TERM, ADVANCED MPK UHF	465	1994	1994
SATCOM	986	1990	2004
SATELLITE COMMUNICATIONS	2114	1990	NULL
SAWE-RF	1024	1990	1995
SBIRS HIGH	622	2004	NULL
SBN 	2006	NULL	NULL
SBP 	2007	NULL	NULL
SBR 	1354	2004	NULL
SCH	2103	NULL	NULL
SCOUT 	85	2007	NULL
SCOUT ASH	115	1990	2009
SCRAPER TRACTOR 15-16 CU 	885	NULL	NULL
SCRAPER TRACTOR 15-16 CU YD	885	1990	1995
SCY 	2008	NULL	NULL
SDB 	1351	2004	NULL
SDR 	2011	NULL	NULL
SEA NYMPH PROGRAM	980	1990	1996
SEARCHLIGHT AN/VSS-3	557	1991	1995
SEB	2104	NULL	NULL
SEC MOB ANTI-JAM REL TAC 	464	NULL	NULL
SEC MOB ANTI-JAM REL TAC TERM	464	1994	2003
SECT	994	1991	1991
SEDAN 4 DR 4X2	1558	1990	2001
SEEK SKYHOOK	1738	1990	1995
SEJ	2105	NULL	NULL
SEMI TRAILER 20 TON	1561	1991	1997
SEP	2106	NULL	NULL
SERVICE CRAFT	1283	1989	2012
SF	2012	NULL	NULL
SFF	2107	NULL	NULL
SFW 	680	2007	2013
SGL CHAN ANTI-JAM MANPORT	463	NULL	NULL
SGL CHAN ANTI-JAM MANPORTABLE	463	1994	2001
SGT YORK GUN (DIVAD) 	18	2009	2010
SH-3D SEA KING	749	1989	2012
SH-60 SEAHAWK	1903	1989	NULL
SHC	2108	NULL	NULL
SHELTER GENERAL PURPOSE	1783	1990	2003
SHELTER SYSTEM M51 CB	575	1990	2003
SHILLELAGH MISSILE 	1373	2004	NULL
SHIP STORE COMBAT-AFS	1282	1990	2003
SHIP STORE-AF	1281	1991	2003
SHOP EQUIPMENT MAINT TRK	600	1994	2003
SHOP VAN 6 TON M146	232	1991	1996
SHORTSTOP	481	1998	2011
SIAP 	643	2008	2008
SICBM SM INT BALL MSL	1545	1990	2000
SIDEWINDER (AIM-9L) (AF) 	42	2009	NULL
SIDEWINDER (AIM-9L) (N) 	41	2007	2011
SIDWINGER (AIM-9M) (AF) 	59	2007	NULL
SIDWINGER (AIM-9M) (N) 	58	2008	2008
SIGHT CREW SRVD WPNS AN/T	551	NULL	NULL
SIGHT CREW SRVD WPNS AN/TVS2	551	1991	1991
SIGHT CREW SRVD WPNS AN/TVS5	551	1990	2003
SIGHT IND SRVD WPNS AN/PV	552	NULL	NULL
SIGHT IND SRVD WPNS AN/PVS+2	552	1990	1990
SIGHT INDIVIDUAL AN/PVS-4	553	1990	2002
SIGHT THERMAL NIGHT AN/TA	560	NULL	NULL
SIGHT THERMAL NIGHT AN/TAS-4	560	1990	2003
SIGHT THERMAL TANK AN/VSG	559	NULL	NULL
SIGHT THERMAL TANK AN/VSG-2	559	1990	2002
SIGHT TRIPOD MTD AN/TVS-4	550	1991	1995
SIGNAL GENERATOR 2.0-18.0	1784	NULL	NULL
SIGNAL GENERATOR 2.0-18.0GHZ	1784	1990	2000
SIGNAL ILLUM GND WS PCHTM	556	NULL	NULL
SIGNAL ILLUM GND WS PCHTM127	556	1991	1991
SIGNALS ALL TYPES	403	1997	2003
SIMP COLL PROT EQMT, M20	581	1996	2003
SIMP TEST EQMT - INT COMB	599	NULL	NULL
SIMP TEST EQMT - INT COMB ENG	599	1994	2003
SIMULATORS, ALL TYPES	404	1994	2003
SINCGARS 	2112	1991	2012
SJS 	2013	NULL	NULL
SJU-17(V) NACES	1160	1996	1999
SKM	2109	NULL	NULL
SKY WARRIOR (reassigned J	1350	NULL	NULL
SKY WARRIOR (reassigned JOINT MRAP?)	1350	NULL	NULL
SLJ	2110	NULL	NULL
SM-6	1383	2015	NULL
SMALL ICBM 	673	2007	2012
SMART-T 	1837	2004	NULL
SOLDIER ENHANCEMENT	601	1994	2004
SPACE DEF SYSTEM 64406F	1541	1991	2010
SPACE FENCE INC 1	2179	2017	NULL
SPACE HEATER	602	1996	1999
SPACE SHUTTLE 64411F	1542	1990	2011
SPADOC	1628	1990	1998
SPARROW (AIM-7E) (AF) 	1798	2011	2011
SPARROW (AIM-7F) (N) 	60	2007	NULL
SPARROW (AIM-7M) (AF) 	61	2009	2013
SPARROW (AIM-7M) (N) 	43	2007	NULL
SPECTRUM ANALYZER	1785	1990	2001
SPS	1961	2004	NULL
SR-71	1464	1992	1992
SRAM 	1338	2010	2013
SSC	2144	2016	NULL
SSDS 	652	2006	NULL
SSGN 	1336	2004	NULL
SSN 21 	665	2000	NULL
SSN 685 	1377	2008	2010
SSN 688 	45	2004	NULL
SSN 774 	1813	2004	NULL
SSN-21 SEAWOLF CLASS	1204	1990	2011
SSN-688	2009	1970	NULL
STAKE 12-16 TON (C/S)	229	1992	1992
STANDARD MISSILE 2	868	1994	NULL
STANDARD MISSILE 2 (SM 2) 	645	2000	NULL
STARCOM(OTHER)	536	1991	1991
STATUS OF FORCES AGREEMENT	2202	2018	NULL
STD ARMY CND & CTRL SYS S	472	NULL	NULL
STD ARMY CND & CTRL SYS STACCS	472	2000	2003
STINGER 	46	2005	NULL
STINGER (RMP)  MANPORTABL	152	NULL	NULL
STINGER (RMP)  MANPORTABLE SAM	152	1990	2011
STINGRAY 	1871	2008	2009
STRATEGIC DEFENSE INITIAT	821	NULL	NULL
STRATEGIC DEFENSE INITIATIVE	821	1990	2013
STRATEGIC SEALIFT 	1836	2004	2010
STRYKER (IAV) 	703	2000	NULL
Stryker Armored Vehicles	188	2003	2009
SUBMARINE AUXILARY-AGSS(A	1284	NULL	NULL
SUBMARINE AUXILARY-AGSS(ASW)	1284	1990	2001
SUBMARINE AUXILARY-AGSS(R	1285	NULL	NULL
SUBMARINE AUXILARY-AGSS(R+D)	1285	1996	2010
SUBMARINE CHASER (110 FT)	1247	NULL	NULL
SUBMARINE CHASER (110 FT) SC	1247	1990	1990
SUBMARINE CHASER (173 FT)	1246	NULL	NULL
SUBMARINE CHASER (173 FT) PC	1246	1991	2003
SUBMARINE EXPERIMENT SASI	1214	NULL	NULL
SUBMARINE EXPERIMENT SASITS	1214	1990	1991
SUBMARINE FBM-SSBN	1211	1989	2003
SUBMARINE GUIDED MISSILE-	1209	NULL	NULL
SUBMARINE GUIDED MISSILE-SSG	1209	1990	2003
SUBMARINE NUCLEAR - SSN	2010	2000	NULL
SUBMARINE NUCLEAR-SSN	1212	1989	NULL
SUBMARINE SS BN-741	1210	1990	2003
SUBMARINE SS GUPPY III	1206	1990	1993
SUBMARINE SS MODERNIZED	1207	1989	1992
SUBMARINE SSN-688	2009	1989	2013
SUBMARINE SS-WW-II	1205	1990	1990
SUPPORT SHIP COMBAT FAST-	1286	NULL	NULL
SUPPORT SHIP COMBAT FAST-AOE	1286	1989	2003
SURTASS 	47	2007	NULL
SURTASS (T-AGOS) 	1866	2011	NULL
SURTASS SHIP T-AGOS	1287	1989	2002
SURVEYING SHIP COASTAL-AG	1291	NULL	NULL
SURVEYING SHIP COASTAL-AGSC	1291	1990	1991
SURVEYING SHIP LARGE-AGS	1290	1990	2001
SURVEYING SHIP MEDIUM-AGS	1289	1989	2011
SURVEYING SHIP SMALL-AGS	1288	1991	2003
T-2 BUCKEYE	789	1990	2013
T-28 TROJAN	784	1991	2000
T-29 FLYING CLASSROOM	1470	1991	1991
T-33 SHOOTING STAR	790	1990	2003
T-34 MENTOR	791	1990	2010
T-37	1466	1990	2003
T-38 TALON	782	1990	2009
T-39 SABRELINER	783	1990	2003
T-400	1515	1991	2003
T-41 MESCALERO	1469	1990	1992
T-43	1474	1991	1999
T-44	785	1990	2003
T-45 GOSHAWK	792	1990	2013
T-45TS 	651	1992	NULL
T-46A 	637	2008	2008
T-53	131	1990	1993
T-55	132	1990	1993
T-56	818	1990	2010
T-58	819	1990	2009
T-63	133	1990	1993
T-64	134	1989	2003
T-700	136	1990	2009
T-76	1514	1991	2000
T-800	135	1995	2003
TA-312/PT FIELD TELEPHONE	446	1991	1999
TA-4 SKYHAWK	787	1989	2003
TACFIRE 	48	2007	2013
TACIT RAINBOW (JGL) 	1821	2006	NULL
TACIT RAINBOW MISSILE	1549	1992	1992
TACSATCOM	540	1993	2001
TACTAS 	56	2007	2007
TACTICAL CONTROL SYSTEM	1027	1998	2003
TACTICAL TOMAHAWK 	694	2004	NULL
TACTICAL UAV 	677	2004	NULL
T-AKE 	1844	2006	NULL
TANK (FUEL SVC) M131 SEMI	230	NULL	NULL
TANK (FUEL SVC) M131 SEMI-TRL	230	1991	2003
TANK FUEL 5,000 GAL XM438	289	1990	2003
TANK FUEL R-9 5000 GAL	1572	1990	2003
TANK LIQUID NITROGEN C-5	1575	1991	1995
TANK WATER 4,000 GAL M149	292	1991	2003
TANK WATER 400 GAL M149 T	263	NULL	NULL
TANK WATER 400 GAL M149 TRK	263	1991	2003
T-AO 187 OILER 	666	2007	2011
TBMCS	1971	2004	NULL
TC-4 ACADEME	788	1990	1995
TCAIMS II	1957	2004	2013
TD-660 MULTIPLEXER	495	1991	1999
TDC	2005	2008	NULL
TEAMMATE	441	2003	2003
TELEPORT	1978	2004	NULL
TENDER DESTROYER-AD	1292	1989	1998
TENDER SEAPLANE SMALL-AVP	1294	1992	1992
TENDER SEAPLANE-AV	1293	1991	1991
TENDER SUB (NON-FBM)-AS	1296	1992	2003
TENDER SUBMARINE (FBM)-AS	1295	1989	2003
TEST EQUIPMENT MOD TEMOD	494	1994	2003
TEST SET AIR DATA COMPUTE	1787	NULL	NULL
TEST SET AIR DATA COMPUTER	1787	1991	2000
TEST SET RCVR  CTRL ALM19	1786	NULL	NULL
TEST SET RCVR  CTRL ALM191	1786	1993	1998
TEST SET TTU 205 C/E	1788	1990	1994
TF-30	815	1989	2003
TF-33	1500	1990	NULL
TF-34	816	1989	2003
TF-39	1502	1990	2013
TF-41	1503	1990	2000
TH-55 OSAGE	106	1991	1993
THAAD 	1830	2005	NULL
THAAD-THEATER HIGH ALT AI	1922	NULL	NULL
THAAD-THEATER HIGH ALT AIR DEF	1922	1995	2012
THIRD GEN NV SYSTEM	549	1994	2003
TITAN IV 	675	2003	NULL
TITAN IV LAUNCH VEH PROGR	1550	NULL	NULL
TITAN IV LAUNCH VEH PROGRAM	1550	1990	2011
TMIP	1952	2008	NULL
TNK & AUTO TECH	200	1989	1993
TOMAHAWK 	50	2007	NULL
TOMAHAWK STRIKE COOR MDLE (TSCM)	2199	2000	NULL
TOMHWK STRIKE COOR MDLE (	878	NULL	NULL
TOMHWK STRIKE COOR MDLE (TSCM)	878	2000	2003
TOOL OUTFIT HYD REPAIR	603	1997	2003
TOW 	1313	2006	NULL
TOW 2 	647	2006	NULL
TOW BAR CLASS I	1789	1992	1992
TOW FLIGHTLINE	1565	1990	2003
TOW II	647	1978	NULL
TOW-2 TB-LH,OP-TRK,WG ANT	159	NULL	NULL
TOW-2 TB-LH,OP-TRK,WG ANTI ARM	159	1991	2010
TOWED SONAR ARRAY	1124	1990	NULL
TR-155 BQ TRANSDUCER ELEM	1131	NULL	NULL
TR-155 BQ TRANSDUCER ELEMENT	1131	1990	1991
TRAC2ES	1955	2009	2012
TRACKWOLF HF SYSTEM	482	1996	2000
TRACTOR 10 TON 6X6 M123(T	293	NULL	NULL
TRACTOR 10 TON 6X6 M123(TRK)	293	1990	1991
TRACTOR 22 1/2 TON 8X8 XM	294	NULL	NULL
TRACTOR 22 1/2 TON 8X8 XM746	294	1990	1993
TRACTOR 32,000 GVW	296	1990	2003
TRACTOR 5 TON	1581	1991	1991
TRACTOR M915 50,000 LB	290	1990	2013
TRACTOR M915A2/M916A LINE	295	NULL	NULL
TRACTOR M915A2/M916A LINE HAUL	295	1994	2003
TRAILERS	237	1994	2009
TRAINER SHERDN WPN SYS XM	208	NULL	NULL
TRAINER SHERDN WPN SYS XM35	208	1991	1991
TRANSPORT AUXILARY ACFT-A	1298	NULL	NULL
TRANSPORT AUXILARY ACFT-AVT	1298	1990	1993
TRANSPORT COASTAL SMALL-A	1299	NULL	NULL
TRANSPORT COASTAL SMALL-APC	1299	1990	1995
TRANSPORT-AP	1297	1991	1995
TRIDENT	1213	1989	2013
Trident I (SUB)	51	1972	NULL
TRIDENT II MISSILE 	74	2000	NULL
TRIDENT II SUB 	73	2010	NULL
TRIDENT SUB 	51	2005	NULL
TRI-TAC	1727	1971	NULL
TRUCK CONCRETE	223	1991	2003
TRUCKS <1T	180	1994	2012
TRUCKS >10T	184	1994	2003
TRUCKS 10T	1925	1994	2009
TRUCKS 2 1/2T	181	1994	2003
TRUCKS 5T	182	1994	2011
TSAT 	1376	2007	2007
TSEC HYL-3/4	1001	1992	1992
TSEC/KG-23	1000	1990	1990
TSEC/KY-57	457	1991	1998
TT-624 (A)(V) TELEPRNTR	1020	1992	1993
TUG HARBOR LGE YTB	1303	1989	2003
TUG OCEAN FLEET-ATF	1301	1989	2003
TUG SALVAGE ATS	1302	1990	1995
TURBOFAN ENGINES	817	1990	2003
TYPE 15 PERISCOPE	1151	1990	2002
TYPE 18 PERISCOPE	1152	1990	2001
U S ROLAND	157	1991	1993
U-1 OTTER	124	1990	1993
U-2	1476	1990	NULL
U-21 UTE	127	1991	2003
U-3	1477	1990	1990
U-4 AERO COMMANDER	1478	1993	1994
U-5	1479	1990	1990
U-6 BEAVER	126	1990	1995
U-8 SEMINOLE	125	1990	1992
UAV HUNTER (SHORT RANGE U	171	NULL	NULL
UAV HUNTER (SHORT RANGE UAV)	171	1999	2003
UGM-27 POLARIS	833	1990	1996
UGM-96 TRIDENT	1918	1989	NULL
UGM-96A (Trident I)	1918	1971	NULL
UH-1 IROQUOIS	1897	1990	2011
UH-19 CHICKASAW	108	1990	1991
UH-1N REPLACEMENT	2196	2018	NULL
UH-2	2149	2000	NULL
UH-2 SEASPRITE	748	1989	2013
UH-3H	770	2000	2011
UH-60	769	1971	NULL
UH-60 BLACKHAWK UTTAS	111	1990	NULL
UH-60 UTTAS BLACK HAWK	769	1990	2003
UHF FOLLOW-ON 	1809	2008	NULL
UNIVERSAL(FT)W/DOZER	254	1990	NULL
UTILITY 1 1/4 TN M561	297	1990	1992
UTILITY 1 1/4 TON M715	299	1990	1990
UTILITY 1/4 TON 4X4 ABT	302	1992	1992
UTILITY 1/4 TON 4X4 M151	298	1990	1993
UTILITY 1/4 TON M151	892	1991	1995
UUM-44 SUBROC	837	1990	1990
V22 	624	2004	NULL
V22 VERTICAL LIFT AIRCRAF	1911	NULL	NULL
V22 VERTICAL LIFT AIRCRAFT	1911	1990	2013
VAN ELECTRONIC 6 TON M373	234	1992	2002
VAST 	1340	2012	NULL
VEHICLES	1924	2003	2003
VERDIN II ZLF-LF RADIO	1067	1990	1996
VH-3D EXECUTIVE HELICOPTE	772	NULL	NULL
VH-3D EXECUTIVE HELICOPTER	772	1996	2003
VH-71	1384	NULL	NULL
VH-80N EXECUTIVE HELICOPT	773	NULL	NULL
VH-80N EXECUTIVE HELICOPTER	773	1997	2002
VO-540	1492	1993	1993
VOLCANO MINES	379	1995	2011
VSX ACFT REPLACE S-2E	780	1989	2002
VTUAV	660	2015	NULL
WALLEYE	905	1991	1994
WAM (WWMCCS/WIS) 	1323	2006	2010
WAREHOUSING SYSTEM AUTOMA	1790	NULL	NULL
WAREHOUSING SYSTEM AUTOMATED	1790	1990	2003
WATER PURIFICATION ROWPU	604	1997	2003
WCS	2195	2018	NULL
WIDE AREA MUNITION (WAM)	383	1995	2011
WIDEBAND GAPFILLER 	1325	2004	NULL
WINDJAMMER	1625	1991	1996
WIN-T 	700	2004	NULL
WLR 14 SEASCOUT SYSTEM MI	976	NULL	NULL
WLR 14 SEASCOUT SYSTEM MISSILE	976	1993	1994
WRECKER 4X4 M553(GOER)	301	1990	1992
WWMCCS (DSP) 12431F	1740	1990	1996
X-19	130	1990	1992
X-22	800	1991	2003
X-31	797	2000	2001
XAGM-22 (SS-11) MSL SYS	140	1991	1991
XM-1 FSED TANK PROGRAM	242	1990	1993
XM23 RANGE FINDER LASER	947	1990	2001
XM454 PROJ	390	1991	1991
XM577 FUZE MT	376	NULL	NULL
XM-723 IFV	244	1991	1993
XMQR-13	172	1991	1991
XQM-94	1535	1991	1991
XV-6	798	1992	1995
YEH-60	114	1991	1993
ZAGM-63	860	1995	1996
ZAGM-86	1536	1990	2010
ZBL	2015	NULL	NULL
ZRGM-59	857	1991	1996
ZUGM-73 POSEIDON	843	1989	1995
